C0091F,PUHO7471
C0481F,PIHA7626
C06A1F,BIRK821
C0741F,PAPA381
C0761F,GREE841
C0AA1F,PARN2529
C0BA1F,HUNU4771
C0BC1F,STHE241
C0CA1F,AHUR7971
C10C1F,WELL957
C12A1F,WAIT7711
C1561F,MTWE237
C1DB1F,TEAT664
C20D1F,LEIG941
C2711F,PIHA761
C2941F,BEAC437
C2971F,AIRAKL3619
C2CA1F,WARK937
C33A1F,ONER407
C3401F,SILV901
C3441F,HELE891
C3731F,ONET4111
C3861F,ORER4571
C3A81F,OTAH3112
C3C61F,WEST6729
C4011F,LEIG9429
C4031F,EAST8329
C4041F,BIRK8219
C4061F,TITI6929
C4371F,KUME8629
C4411F,WAIA7129
C4441F,HOWI3219
C4451F,WARK9310
C4641F,SHEL8825
C4771F,BEAC431
C4A21F,WAIA711
C4A81F,LAIN701
C5241F,TEAT662
C5301F,KAIA4271
C5311F,DEVO811
C5321F,KAIA4225
C5341F,SILV907
C5361F,AIRAKL363
C5681F,WHEN682
C56D1F,BEAC4329
C5731F,KARE7371
C58C1F,HUNU4772
C62B1F,HEND657
C6321F,HOWI322
C6341F,OTAR331
C6671F,LAIN7010
C69C1F,CLEV4611
C6BC1F,PUHO7425
C6C61F,MANG351
C6D41F,AUCK2018
C7271F,MAHU981
C72D1F,ALBA851
C7351F,PAPA348
C7381F,PAPA3811
C7451F,AUCKOSU2
C7491F,MURI8725
C7591F,ONEH2213
C7631F,AVON6015
C7651F,BALM6117
C7691F,AUCKOSU4
C7811F,PARN256
C7911F,AUCK206
C7D41F,WARK931
C7D81F,KUME861
C8021F,ONEH221
C8081F,MTRO621
C82D1F,HOWI321
C8611F,BIRK822
C8651F,HEND651
C8661F,MATA9233
C8681F,SHEL8871
C8691F,PAPA347
C8731F,MANL9129
C8971F,WEST671
C8C11F,PAPA3429
C8DB1F,SILV9011
C9421F,TEAT6619
C95C1F,AUCK205
C9601F,HEND6527
C9711F,HUIA721
C97A1F,TAKA8029
C98A1F,MTWE2329
C98C1F,EAST831
C9901F,GLEN641
C9971F,AHUR7933
C9991F,PAPA387
C9A41F,KAUK7871
C9A91F,AUCK2029
C9B71F,AIRAKL362
C9C01F,TAKA807
C9C91F,AVON607
C9D11F,WHEN681
CA121F,TRYP9671
CA1B1F,BETH7576
CA1D1F,LAIN7033
CA221F,MURI871
CA281F,TITI691
CA521F,TITI692
CA531F,EAST832
CA551F,AIRAKL3633
CA631F,HELE897
CA781F,HUIA7233
CA801F,WELLSFOSU1
CAD21F,ONET411
CAD81F,WELL951
CB031F,KAUK7876
CB441F,WHEN6872
CB561F,WHEN6871
CB681F,ELLE274
CB841F,CLEV461
CB891F,WAIT771
CB8B1F,MATA921
CBBC1F,ONER401
CC241F,PAPA344
CC261F,KAWA441
CC631F,WHEN683
CC641F,WHEN6811
CC691F,AUCKOSU3
CC831F,BETH7571
CC921F,SILVOSU1
CCBA1F,MATA9276
CD181F,DEVO812
CD351F,MANL911
CD3A1F,AUCKOSU1
CD411F,PARN255
CD511F,AUCK2010
CD5A1F,KAWA1910
CD921F,AUCK207
CD981F,PARN251
CD991F,BALM611
CDB01F,REMU211
CDB21F,MANU301
CDB41F,OTAH311
CDBB1F,KUME867
CDC01F,OTAR3318
CDC81F,WEST672
CDD31F,GREY261
C07D1F,TE0002
C0AC1F,GMAUCKL05
C1061F,GMAUCKL02
C10A1F,FIAUCKL02
C1101F,GMCOUMA03
C1121F,R1SPARE08
C1131F,GMAUCKL01
C1151F,DMWAITE
C1D91F,VSOCOUMA01
C2051F,FIWAITE02
C2071F,FICOUMA06
C2091F,R1SPARE01
C2101F,FIWAITE04
C2111F,FIAUCKL05
C2121F,FIWAITE01
C2141F,FICOUMA04
C2161F,FICOUMA01
C2181F,VSOWAITE02
C2191F,FIAUCKL01
C21B1F,R1SPARE02
C2201F,FIWAITE03
C2321F,GMWAITE03
C2371F,R1SPARE05
C2951F,GMCOUMA05
C32C1F,FICOUMA05
C32D1F,VSOCOUMA03
C3471F,GMWAITE02
C3A91F,AIRAKL361
C3C11F,DMCOUMA
C3CB1F,GMCOUMA02
C3CC1F,R1SPARE10
C3DB1F,GMWAITE01
C41B1F,GMAUCKL04
C4281F,FIAUCKL06
C4351F,VSOCOUMA02
C4421F,FICOUMA03
C4CC1F,AUCKOSU6
C4DB1F,GMWAITE05
C5751F,GMCOUMA01
C7321F,CLEV462
C7581F,VSOWAITE03
C7A21F,VSOWAITE01
C7C21F,FIWAITE05
C9A31F,DSOAUCK01
CA6A1F,FIAUCKL07
CA711F,AUCKOSU5
CA771F,FIAUCKL04
CA7B1F,AUCKCONTRL
CA831F,GMWAITE04
CA951F,GMCOUMA04
CBBB1F,DMAUCKL
CBD11F,VSOWAITE04
CC651F,WHENUAPAI2
CC781F,WHENUAPAI1
CD441F,SOCOUMA06
CD861F,GMAUCKL03
C5009,PUHO7471
C5048,PIHA7626
C506A,BIRK821
C5074,PAPA381
C5076,GREE841
C50AA,PARN2529
C50BA,HUNU4771
C50BC,STHE241
C50CA,AHUR7971
C510C,WELL957
C512A,WAIT7711
C5156,MTWE237
C51DB,TEAT664
C520D,LEIG941
C5271,PIHA761
C5294,BEAC437
C5297,AIRAKL3619
C52CA,WARK937
C533A,ONER407
C5340,SILV901
C5344,HELE891
C5373,ONET4111
C5386,ORER4571
C53A8,OTAH3112
C53C6,WEST6729
C5401,LEIG9429
C5403,EAST8329
C5404,BIRK8219
C5406,TITI6929
C5437,KUME8629
C5441,WAIA7129
C5444,HOWI3219
C5445,WARK9310
C5464,SHEL8825
C5477,BEAC431
C54A2,WAIA711
C54A8,LAIN701
C5524,TEAT662
C5530,KAIA4271
C5531,DEVO811
C5532,KAIA4225
C5534,SILV907
C5536,AIRAKL363
C5568,WHEN682
C556D,BEAC4329
C5573,KARE7371
C558C,HUNU4772
C562B,HEND657
C5632,HOWI322
C5634,OTAR331
C5667,LAIN7010
C569C,CLEV4611
C56BC,PUHO7425
C56C6,MANG351
C56D4,AUCK2018
C5727,MAHU981
C572D,ALBA851
C5735,PAPA348
C5738,PAPA3811
C5745,AUCKOSU2
C5749,MURI8725
C5759,ONEH2213
C5763,AVON6015
C5765,BALM6117
C5769,AUCKOSU4
C5781,PARN256
